College_ID,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0079,9.47,9.28,3,No,7,3,3,No
CLG0053,5.29,5.29,9,Yes,6,1,4,No
CLG0014,7.98,7.86,5,Yes,0,3,2,No
CLG0046,7.85,7.66,9,No,3,8,4,No
CLG0078,5.18,5.51,1,No,9,7,2,No
CLG0067,7.57,8,10,No,8,5,5,No
CLG0074,8.05,8.42,8,No,6,10,3,Yes
CLG0070,5.96,5.98,2,No,0,9,4,No
CLG0020,6.37,6.75,8,Yes,7,4,5,No
CLG0035,8.2,8.62,4,Yes,3,6,1,No
CLG0048,7.34,7.25,2,No,6,5,3,No
CLG0043,9.29,9.07,2,No,5,6,1,No
CLG0020,6.71,6.31,6,No,6,4,3,No
CLG0056,6.33,6.31,3,Yes,9,3,0,No
CLG0003,9.92,10.37,10,No,9,5,5,No
CLG0068,9.56,9.62,3,No,0,5,0,No
CLG0011,5.14,5.31,9,No,5,2,0,No
CLG0062,8.85,8.46,5,No,2,10,1,No
CLG0061,5.55,5.19,7,No,9,4,2,No
CLG0095,5.14,5.1,5,Yes,3,3,3,No
CLG0058,6.37,6.82,2,No,0,7,0,No
CLG0029,6.35,6.21,8,Yes,9,5,1,No
CLG0038,9.1,9.48,9,No,7,6,3,Yes
CLG0084,8.55,8.17,2,No,1,7,0,No
CLG0088,9.91,10.03,2,No,2,2,0,No
CLG0087,8.56,8.66,4,No,6,10,0,No
CLG0022,7.09,7.45,8,No,1,4,1,No
CLG0086,8.49,7.99,5,No,3,6,2,No
CLG0041,10,9.69,5,No,6,3,5,Yes
CLG0084,8.55,8.27,7,Yes,2,6,5,No
CLG0063,8.81,9.26,4,Yes,1,10,0,No
CLG0038,9.69,9.34,9,No,7,1,0,No
CLG0050,5.57,5.11,4,Yes,1,8,2,Yes
CLG0007,8.52,8.55,8,Yes,9,10,5,Yes
CLG0024,9.25,9.28,3,No,6,5,2,No
CLG0046,9.77,10.11,6,No,10,1,4,No
CLG0025,6.05,6.5,1,No,2,10,0,No
CLG0078,7.52,7.56,7,No,3,10,5,No
CLG0029,8.4,8.83,7,Yes,5,1,3,No
CLG0067,6.24,6.47,2,No,10,10,4,No
CLG0093,8,7.76,5,No,2,3,3,No
CLG0080,6.29,6.72,4,Yes,0,6,2,No
CLG0085,6.67,6.84,10,No,7,2,5,No
CLG0022,7.21,7.12,9,No,3,8,4,No
CLG0085,7.65,7.83,2,No,0,10,1,No
CLG0086,7.25,7.15,3,No,1,7,4,No
CLG0009,7.47,7.08,1,No,5,2,4,No
CLG0087,6.49,6.71,10,No,0,1,2,No
CLG0049,5.79,6.11,5,Yes,8,7,0,No
CLG0073,5.24,5.47,3,No,6,7,2,No
CLG0096,5.98,5.71,4,Yes,7,3,2,No
CLG0036,7.91,8.37,4,No,7,10,2,Yes
CLG0100,8.93,8.46,6,No,5,8,3,Yes
CLG0005,5.85,5.68,10,No,7,8,5,No
CLG0090,5.54,5.3,7,No,6,5,1,No
CLG0004,8.75,8.3,7,Yes,0,7,3,No
CLG0024,6.53,6.44,8,No,2,3,4,No
CLG0041,9.76,9.88,3,Yes,8,6,2,Yes
CLG0014,8.57,8.95,5,Yes,7,3,5,Yes
CLG0091,6.63,7.12,10,No,4,9,0,No
CLG0012,6.45,6.76,6,No,0,7,2,No
CLG0082,7.62,7.59,6,No,1,1,3,No
CLG0044,5.4,5.62,8,Yes,9,8,5,No
CLG0009,5.59,5.93,5,No,9,9,1,No
CLG0066,5.88,5.85,5,Yes,8,10,3,No
CLG0038,8.87,9.16,1,Yes,9,2,2,No
CLG0096,7.57,7.55,1,No,7,1,5,No
CLG0077,5.05,4.94,6,Yes,8,4,1,No
CLG0057,8.37,8.4,10,Yes,1,9,0,No
CLG0047,7.12,7.3,10,No,2,6,3,No
CLG0055,7.55,7.78,5,Yes,2,10,5,No
CLG0088,6.07,5.93,10,Yes,0,8,3,No
CLG0002,7.76,7.83,6,No,1,7,5,No
CLG0083,9.9,10.31,9,No,9,5,4,No
CLG0018,5.37,5.85,8,No,4,5,5,No
CLG0066,6.42,6.15,7,Yes,6,6,1,No
CLG0090,6.21,5.9,7,No,5,6,3,No
CLG0057,6.24,6.42,6,No,1,5,4,No
CLG0064,6.89,6.8,6,Yes,7,8,0,No
CLG0088,9.09,8.61,1,No,3,3,5,Yes
CLG0027,9.56,9.41,7,No,10,9,3,Yes
CLG0053,6.01,6.32,5,No,1,5,3,No
CLG0059,7.71,8.01,7,No,3,9,2,Yes
CLG0029,8.18,8.17,6,No,7,5,3,No
CLG0072,7.61,7.58,8,No,0,3,0,No
CLG0095,7.17,7.25,3,Yes,10,9,5,No
CLG0098,5.96,5.68,8,Yes,8,2,4,No
CLG0014,7.44,7.47,7,No,7,5,5,No
CLG0068,7.01,6.52,1,No,7,3,1,No
CLG0043,8.98,8.96,3,No,9,7,0,No
CLG0029,8.82,8.66,10,Yes,8,4,1,No
CLG0057,5.67,5.84,4,No,6,8,0,No
CLG0033,5.44,5.58,9,Yes,10,1,5,No
CLG0021,9.54,9.42,6,No,8,5,5,No
CLG0041,7.68,7.19,7,No,0,8,4,No
CLG0001,9.29,9.04,5,No,0,2,2,Yes
CLG0027,5.29,5.42,3,Yes,3,6,4,No
CLG0002,7.63,7.2,5,Yes,1,7,5,No
CLG0064,7.7,7.31,7,No,7,6,1,No
CLG0051,9.3,9.45,9,No,0,10,1,Yes
CLG0054,5.49,5.75,9,Yes,3,3,5,No
CLG0074,6.2,6.02,8,No,10,6,3,No
CLG0074,7.03,7.02,5,No,10,7,5,No
CLG0030,9.33,9.78,7,Yes,8,3,2,Yes
CLG0001,9.69,10.14,4,Yes,1,10,4,Yes
CLG0095,9.96,9.77,10,No,5,2,5,No
CLG0099,9.8,10.11,5,Yes,3,3,4,No
CLG0029,5.03,5.12,4,Yes,3,1,1,No
CLG0013,5.24,5.72,3,No,5,7,2,No
CLG0073,5.74,5.72,1,No,9,4,4,No
CLG0043,6.74,7.01,5,No,3,3,2,No
CLG0041,9.15,9.42,2,Yes,8,6,2,No
CLG0075,9.46,9.46,6,No,7,3,4,No
CLG0088,5.93,6.23,5,No,7,10,5,No
CLG0089,8.1,7.86,2,Yes,4,3,2,No
CLG0058,9.59,9.21,8,No,5,9,5,Yes
CLG0077,7.32,7.25,5,No,0,2,0,No
CLG0014,5.52,5.96,2,Yes,0,5,1,No
CLG0041,7.29,7.29,1,Yes,8,10,2,No
CLG0067,6.88,7.02,2,No,3,10,2,Yes
CLG0054,7.89,8.01,1,Yes,2,2,0,No
CLG0006,7.19,6.82,10,No,4,6,3,No
CLG0046,5.09,4.98,10,No,8,4,2,No
CLG0077,9.97,10.18,3,No,8,7,4,No
CLG0001,7.72,8.19,3,Yes,2,1,5,No
CLG0029,7.37,7.04,10,No,6,8,5,Yes
CLG0078,9.77,9.68,1,No,2,2,3,No
CLG0076,5.78,5.38,7,Yes,2,4,5,No
CLG0026,5.95,5.69,10,No,3,7,5,No
CLG0058,9.04,8.92,7,No,1,8,5,Yes
CLG0087,6.3,6.34,9,Yes,5,9,3,Yes
CLG0003,9,8.73,5,Yes,4,5,0,No
CLG0060,6.36,6.09,4,Yes,9,9,4,No
CLG0014,5.17,5.45,5,No,9,9,5,No
CLG0098,7.59,8.05,8,No,1,3,3,Yes
CLG0023,5.98,5.8,8,Yes,9,7,2,No
CLG0062,8.79,8.98,4,No,1,8,0,No
CLG0010,8.21,7.97,8,Yes,1,1,0,No
CLG0004,9.62,10.05,4,No,3,10,0,No
CLG0039,8.91,9.08,4,Yes,2,5,5,No
CLG0074,5.9,6.2,8,Yes,8,1,1,No
CLG0088,9,8.55,2,No,4,3,3,Yes
CLG0034,8.21,8.31,4,No,0,2,5,No
CLG0088,8.34,8.37,1,No,1,2,4,No
CLG0025,9.16,8.95,1,No,6,4,4,No
CLG0052,7.87,7.63,8,No,7,5,1,No
CLG0015,7.33,7.41,4,No,5,1,5,No
CLG0012,8.18,8.39,6,Yes,6,6,2,No
CLG0001,6.49,6.02,5,No,1,5,3,No
CLG0009,5.91,5.98,10,Yes,5,4,0,No
CLG0059,8.08,7.75,6,Yes,5,6,1,No
CLG0014,6.17,5.81,4,No,3,2,1,No
CLG0031,5.4,5.52,4,No,10,8,3,No
CLG0088,5,4.81,7,No,3,6,4,No
CLG0053,8.04,7.98,1,No,1,3,5,No
CLG0063,6.81,6.67,9,Yes,2,4,3,No
CLG0010,8.76,8.91,10,No,9,2,4,No
CLG0043,6.88,6.85,3,No,5,4,3,No
CLG0018,7.43,7.89,4,No,3,9,4,No
CLG0067,7.04,6.89,9,No,2,4,5,No
CLG0059,8.25,8.49,5,No,0,8,1,Yes
CLG0076,6.78,6.54,4,No,10,3,4,No
CLG0099,9.82,9.83,6,Yes,10,5,3,No
CLG0023,9.68,9.73,1,No,10,2,2,No
CLG0086,9.24,9.07,10,No,2,9,3,Yes
CLG0075,9.6,9.57,1,No,0,9,1,No
CLG0046,7.25,7.03,5,Yes,3,10,4,No
CLG0049,7.68,7.19,5,No,3,7,4,No
CLG0023,8.71,8.43,9,No,10,2,4,No
CLG0012,8.48,8.68,1,No,0,4,1,No
CLG0029,9.45,9.72,3,No,6,6,5,Yes
CLG0089,8.58,8.36,3,No,4,9,3,Yes
CLG0088,9.99,9.9,4,No,0,6,4,Yes
CLG0059,6.74,6.28,7,Yes,4,4,2,No
CLG0053,9.16,8.9,7,Yes,6,1,5,Yes
CLG0068,8.49,8.77,10,No,5,7,2,No
CLG0063,8.46,8.57,5,Yes,9,7,0,No
CLG0029,6.63,6.34,9,No,4,6,2,No
CLG0003,8.93,8.69,7,Yes,7,3,0,No
CLG0095,9.5,9.82,2,Yes,8,5,4,No
CLG0089,6.09,5.8,3,Yes,0,7,1,No
CLG0037,8.13,7.96,7,No,5,6,1,No
CLG0063,6.96,7.12,5,No,1,7,1,No
CLG0023,9.95,10.01,7,No,7,5,4,No
CLG0049,7.39,7.35,9,No,4,1,4,No
CLG0086,6.14,6.54,9,No,0,10,3,Yes
CLG0093,6.91,6.63,3,Yes,4,5,5,No
CLG0100,8.27,8.51,8,Yes,9,2,2,No
CLG0077,5.38,5.04,6,No,4,10,4,Yes
CLG0003,8.02,8.14,4,No,1,10,2,Yes
CLG0022,9.66,10.03,4,No,3,2,1,No
CLG0036,9.25,9.21,4,No,5,4,2,Yes
CLG0010,5.34,5.56,7,Yes,0,6,3,No
CLG0009,9.97,10.29,6,Yes,10,5,1,No
CLG0056,8.49,8.13,2,No,8,7,2,No
CLG0055,5.81,6.02,5,Yes,6,10,3,No
CLG0019,5.06,5.48,5,Yes,5,8,5,No
CLG0072,5.86,5.94,6,Yes,0,10,2,No
CLG0033,9.19,8.88,7,No,7,1,3,No
CLG0020,5.11,4.74,8,Yes,7,8,2,No
CLG0094,6.17,5.93,10,Yes,3,3,1,No
CLG0035,8.79,8.39,8,No,3,10,1,No
CLG0031,7.93,7.94,5,Yes,0,10,0,No
CLG0083,8.91,8.48,2,Yes,8,2,3,No
CLG0050,8.73,8.45,10,Yes,7,2,2,Yes
CLG0046,5.25,5.19,8,Yes,9,5,5,No
CLG0078,9.46,9.43,6,No,6,2,2,Yes
CLG0010,6.14,6.21,3,Yes,1,4,2,No
CLG0067,7.77,7.98,4,No,6,3,4,No
CLG0034,8.22,7.77,1,Yes,3,8,3,No
CLG0051,5.84,5.42,3,No,2,9,2,No
CLG0092,9.88,9.44,4,No,10,6,0,No
CLG0083,7.44,7.36,2,No,9,4,1,No
CLG0039,5.29,4.83,6,No,3,2,4,No
CLG0090,9.69,9.94,8,Yes,9,8,4,Yes
CLG0068,7.93,7.65,6,No,5,3,1,No
CLG0012,8.5,8.94,10,No,6,2,5,No
CLG0026,7.63,7.62,3,No,1,4,5,No
CLG0071,9.17,9.12,9,Yes,6,2,4,No
CLG0067,5.17,5.45,4,Yes,9,3,0,No
CLG0090,6.34,6.55,6,No,1,9,0,No
CLG0002,7.35,7.46,4,No,10,7,1,No
CLG0012,5.38,5.82,4,No,1,1,3,No
CLG0059,8.53,8.45,2,No,0,10,5,Yes
CLG0032,6.97,7.28,10,Yes,10,5,4,No
CLG0051,6.36,6.24,2,No,6,5,2,No
CLG0011,5.02,5.36,2,No,0,9,5,No
CLG0032,8.6,8.36,2,No,2,1,2,No
CLG0064,9.17,8.96,8,Yes,10,1,0,No
CLG0045,6.98,7.16,10,No,7,10,3,No
CLG0079,7.82,7.53,4,Yes,0,7,3,No
CLG0054,6.14,5.87,4,No,5,7,5,No
CLG0006,8.11,7.92,10,No,1,8,4,No
CLG0026,5.06,5.24,10,No,8,4,5,No
CLG0008,7.44,7.83,3,No,1,7,4,No
CLG0008,8.22,8.39,5,No,5,6,1,No
CLG0038,9.59,9.92,4,No,3,1,0,No
CLG0008,6.91,6.95,7,Yes,8,2,1,No
CLG0017,8.83,8.4,10,No,0,8,1,No
CLG0083,7.99,7.59,7,No,0,6,3,No
CLG0003,9.64,9.69,6,Yes,9,7,4,No
CLG0041,6.99,6.82,7,No,2,8,2,No
CLG0073,6.6,6.32,7,Yes,10,5,1,No
CLG0053,9.44,9.41,8,Yes,5,5,0,No
CLG0097,5.25,5.42,1,Yes,2,2,1,No
CLG0096,5.68,5.56,3,No,6,4,2,No
CLG0096,5.41,5.71,3,No,8,2,2,No
CLG0070,9.22,9.46,5,No,9,7,0,No
CLG0062,5.05,5.28,10,Yes,1,9,5,No
CLG0053,9.31,9.8,7,Yes,3,2,2,No
CLG0059,7.26,7.06,10,No,2,4,2,No
CLG0093,5.02,5.16,6,Yes,5,8,5,No
CLG0081,7.01,7.37,4,No,4,9,2,Yes
CLG0083,5.93,6.01,6,No,2,4,1,No
CLG0095,8.12,8.41,7,No,8,8,0,Yes
CLG0083,8.4,8.31,4,No,7,7,1,No
CLG0023,7.44,7.53,8,Yes,2,5,5,No
CLG0047,5.2,4.76,5,No,9,4,0,No
CLG0035,8.28,8.77,3,Yes,4,6,2,No
CLG0014,9.21,9.51,2,No,4,6,2,No
CLG0065,8.6,8.97,1,No,4,2,4,Yes
CLG0097,9.15,9.34,4,No,7,3,2,No
CLG0049,6,5.69,2,Yes,2,6,0,No
CLG0036,9.44,8.97,3,No,2,4,3,No
CLG0001,6.61,6.97,1,No,7,3,0,No
CLG0084,5.07,4.97,6,No,8,4,2,No
CLG0022,9.22,8.98,4,No,4,6,2,No
CLG0035,9.71,9.77,5,No,9,3,3,No
CLG0003,8.28,8.2,8,No,7,1,2,Yes
CLG0012,6.16,6.31,4,No,4,6,4,No
CLG0037,6.26,6.24,6,No,3,2,3,No
CLG0058,7.33,7.53,3,No,1,9,1,No
CLG0077,9.49,9.84,8,No,10,6,5,No
CLG0012,5.75,5.45,3,Yes,3,1,4,No
CLG0002,9.13,8.96,7,No,1,4,0,No
CLG0084,6.46,6.4,7,No,6,5,5,No
CLG0065,9.04,9.5,3,Yes,6,8,5,Yes
CLG0058,9.6,9.47,3,Yes,8,3,4,Yes
CLG0060,7.14,7.02,10,No,3,9,4,Yes
CLG0041,6.83,6.98,10,No,4,9,2,No
CLG0035,9.01,8.93,8,Yes,10,10,1,No
CLG0088,7.65,8.1,3,No,3,5,3,Yes
CLG0090,8.42,8.81,2,No,3,4,5,Yes
CLG0011,8.11,8.12,5,Yes,4,7,4,No
CLG0052,5.76,5.9,7,Yes,2,9,5,No
CLG0052,9.22,8.78,8,No,8,6,2,Yes
CLG0062,5.98,6.18,1,Yes,6,7,4,No
CLG0063,9.66,9.87,2,Yes,0,1,1,No
CLG0015,6.25,6.11,7,Yes,0,4,3,No
CLG0070,8.67,8.39,9,Yes,0,2,2,Yes
CLG0040,6.42,6.84,3,Yes,2,1,4,No
CLG0009,6.59,6.52,8,Yes,8,7,1,No
CLG0070,6.55,6.7,10,No,7,10,0,No
CLG0017,8.74,8.27,3,No,8,4,0,No
CLG0023,7.78,7.69,4,Yes,4,2,1,No
CLG0058,9.41,9.73,2,No,6,5,5,No
CLG0095,6.54,6.43,9,Yes,9,7,3,No
CLG0080,8.46,8.56,5,No,8,2,4,No
CLG0051,8.76,8.47,5,Yes,4,7,4,No
CLG0057,5.76,5.68,4,No,7,3,1,No
CLG0086,7,7.43,5,Yes,7,8,4,No
CLG0016,7.41,7.48,1,No,2,7,3,No
CLG0045,6.78,7.18,10,Yes,4,1,1,No
CLG0061,6.61,7.01,10,Yes,7,9,5,No
CLG0012,8.43,8.87,6,No,9,6,0,No
CLG0073,6.08,6.48,4,No,2,4,0,No
CLG0006,8.55,8.05,4,No,2,6,2,No
CLG0004,9.68,10.11,5,No,5,2,5,No
CLG0081,7.83,7.47,1,Yes,6,2,5,No
CLG0074,8.06,7.6,4,No,6,8,0,No
CLG0035,5.34,4.9,10,No,5,10,4,No
CLG0047,9.32,9.17,3,Yes,6,5,3,No
CLG0085,6.43,6.55,5,No,6,7,3,No
CLG0019,8.08,7.98,10,No,3,1,2,No
CLG0027,9.9,9.43,5,Yes,7,6,5,No
CLG0011,7.98,7.96,8,Yes,7,10,4,No
CLG0070,8.62,8.56,1,Yes,1,7,5,Yes
CLG0059,7.23,7.49,3,No,9,10,1,No
CLG0041,5.3,5.08,5,No,4,7,2,No
CLG0043,8.99,8.71,3,No,1,10,4,Yes
CLG0028,5.17,4.93,6,No,2,3,1,No
CLG0063,8.5,8.3,10,Yes,2,9,0,No
CLG0067,5.11,5.21,3,Yes,4,9,0,No
CLG0045,9.31,9.28,6,No,7,5,1,No
CLG0024,5.79,5.63,8,No,2,9,2,No
CLG0077,7.57,7.44,4,Yes,6,7,1,No
CLG0064,7.99,7.86,8,Yes,4,7,5,No
CLG0079,7.29,7.76,7,Yes,9,9,4,No
CLG0073,6.7,6.43,4,Yes,9,2,5,No
CLG0039,7.34,7.66,3,Yes,9,10,5,No
CLG0099,6.56,6.77,5,Yes,3,5,1,No
CLG0045,7.19,6.7,5,Yes,1,8,4,Yes
CLG0061,6.79,7.28,7,No,5,8,4,No
CLG0082,7.83,8.09,1,No,3,3,0,No
CLG0043,6.19,6.37,9,No,3,5,4,No
CLG0067,9.94,9.85,2,No,4,4,3,No
CLG0092,7.5,7.56,9,No,8,4,5,No
CLG0080,5.97,5.72,9,No,0,2,0,No
CLG0042,7.39,6.93,3,Yes,4,6,5,No
CLG0041,9.33,9.67,7,No,4,1,0,No
CLG0047,5.11,5.51,3,Yes,1,8,1,No
CLG0043,8.4,8.06,8,Yes,2,10,4,Yes
CLG0023,7.74,8.03,8,No,3,9,5,Yes
CLG0032,5.85,6.09,3,Yes,0,5,1,No
CLG0074,9.09,8.77,5,No,9,6,4,No
CLG0057,6.84,6.76,7,No,2,1,0,No
CLG0038,6.47,6.39,1,Yes,0,6,3,No
CLG0077,9.14,9.4,3,Yes,0,1,5,No
CLG0015,8.19,8.53,1,Yes,8,5,0,No
CLG0028,9.49,9.08,2,No,3,9,2,Yes
CLG0013,8.15,8.21,7,Yes,3,5,1,No
CLG0035,8.7,8.96,7,No,3,3,3,No
CLG0002,9.18,9.47,3,Yes,10,4,1,No
CLG0061,5.27,4.92,6,Yes,8,3,4,No
CLG0065,8.88,8.91,6,No,10,4,1,No
CLG0041,8.07,8.43,2,No,7,10,0,No
CLG0096,5.35,5.17,9,No,3,6,0,No
CLG0094,7.54,7.47,8,No,5,3,1,No
CLG0086,5.41,5.71,2,No,1,5,4,No
CLG0004,8.68,8.27,4,No,5,7,4,Yes
CLG0053,7.73,8.09,9,No,0,1,3,No
CLG0088,9.77,9.58,4,No,4,3,0,No
CLG0014,5.92,5.42,7,No,7,6,1,No
CLG0017,8.03,7.76,5,No,0,10,3,Yes
CLG0014,6.06,5.65,10,Yes,10,2,2,No
CLG0041,8.07,7.66,6,No,1,8,3,Yes
CLG0062,8.61,8.8,1,Yes,2,7,5,Yes
CLG0052,8.61,8.32,4,Yes,6,2,2,No
CLG0027,9.08,9.51,5,No,7,5,2,No
CLG0085,9.27,9.29,6,Yes,3,4,3,No
CLG0040,5.39,5.35,6,No,7,2,0,No
CLG0035,6.72,6.65,5,Yes,0,4,3,No
CLG0090,8.44,8.63,3,No,2,9,3,Yes
CLG0095,7.49,7.44,2,No,3,10,5,No
CLG0059,5.95,5.58,7,No,4,2,0,No
CLG0097,7.76,8.14,1,No,10,10,0,No
CLG0049,7.04,6.97,5,Yes,8,10,5,Yes
CLG0063,6.95,6.52,4,No,1,6,0,No
CLG0011,9.05,9.08,7,Yes,6,4,0,No
CLG0080,7.04,7.19,2,Yes,2,8,5,Yes
CLG0006,5.13,4.91,8,No,9,4,0,No
CLG0098,5.29,5.59,9,No,1,9,5,No
CLG0041,9.28,9.45,10,Yes,8,10,0,No
CLG0032,9.8,9.95,1,No,2,3,3,Yes
CLG0021,8.44,8.36,5,No,7,7,5,No
CLG0093,6.82,7.28,4,No,0,5,1,No
CLG0075,9.69,9.46,5,Yes,4,1,1,No
CLG0057,8.31,8.39,9,No,4,3,1,No
CLG0005,9.22,9.03,3,No,5,9,3,Yes
CLG0091,8.83,9.07,1,Yes,6,9,0,Yes
CLG0028,6.9,6.45,3,Yes,2,5,2,No
CLG0095,7.39,6.94,4,No,4,5,0,No
CLG0075,5.93,6.24,2,No,7,4,4,No
CLG0077,6.46,6.39,1,No,5,4,0,No
CLG0070,8.89,8.73,1,No,1,4,5,No
CLG0027,9.47,9.58,8,No,6,2,5,No
CLG0094,8.62,8.82,4,No,2,7,1,No
CLG0053,7.33,7.03,2,No,9,3,0,No
CLG0048,5.43,5.12,10,Yes,8,1,0,No
CLG0083,5.28,5.74,3,Yes,3,10,5,No
CLG0078,6.87,6.96,8,No,10,3,4,No
CLG0058,7.32,7.21,6,No,3,9,2,No
CLG0009,8.05,8.35,8,No,3,9,2,Yes
CLG0055,5.03,5.06,10,No,9,10,1,No
CLG0045,9.95,9.69,5,Yes,9,7,5,No
CLG0028,6.82,6.53,3,Yes,7,1,2,No
CLG0028,9.24,9.14,6,No,0,6,1,No
CLG0046,7.67,8.03,10,Yes,2,10,3,Yes
CLG0025,5.65,5.21,8,No,7,1,4,No
CLG0026,8.99,8.71,5,No,6,2,0,No
CLG0062,8.55,8.94,5,Yes,5,3,4,No
CLG0068,7.64,7.26,3,Yes,6,6,2,No
CLG0067,7.57,7.7,3,No,0,7,5,No
CLG0034,5.44,5.15,8,Yes,7,8,0,No
CLG0021,8.28,8.39,1,No,3,9,4,Yes
CLG0081,9.56,9.44,4,No,0,7,4,No
CLG0034,5.47,5.07,9,Yes,3,6,5,No
CLG0044,6.32,6.4,6,No,1,5,5,No
CLG0076,9.51,9.69,6,No,4,10,1,No
CLG0089,6.42,6.6,10,No,0,2,5,No
CLG0021,8.27,8.41,7,No,0,8,5,Yes
CLG0018,7.67,7.67,7,Yes,4,5,5,No
CLG0036,7.98,8,6,No,1,10,3,No
CLG0070,7.08,7.22,9,Yes,8,2,4,No
CLG0084,6.5,6.69,8,No,9,3,5,No
CLG0053,5.24,5.39,8,Yes,6,10,0,No
CLG0020,8.72,8.81,2,Yes,3,10,3,Yes
CLG0096,8.73,8.39,7,No,6,7,3,No
CLG0095,8.35,8.06,1,Yes,7,10,5,Yes
CLG0084,8.22,7.98,10,No,7,8,0,No
CLG0094,6.22,6.64,8,No,7,5,3,No
CLG0003,5.11,5.37,3,No,4,10,2,No
CLG0084,9.04,9.09,9,No,6,8,3,Yes
CLG0008,7.46,7.21,5,Yes,10,10,1,No
CLG0085,6.53,6.14,7,No,6,10,3,No
CLG0048,5.51,5.91,7,No,1,6,4,No
CLG0023,5.31,5.7,9,Yes,2,2,5,No
CLG0001,6.74,6.35,2,Yes,10,2,3,No
CLG0002,9.02,9.32,4,No,1,8,1,Yes
CLG0074,9.59,9.54,8,Yes,2,4,1,No
CLG0037,9.48,9.3,5,No,8,8,5,Yes
CLG0094,9.6,9.84,5,Yes,6,9,3,Yes
CLG0051,9.54,9.65,3,No,3,6,2,No
CLG0044,7.64,7.92,5,Yes,7,9,3,Yes
CLG0024,6.1,5.67,7,No,6,6,0,No
CLG0032,8.99,8.81,4,Yes,9,3,1,No
CLG0056,6.07,5.89,8,No,5,8,3,Yes
CLG0050,6.34,6.17,6,Yes,3,1,2,No
CLG0064,6.17,6.17,6,No,4,6,2,No
CLG0030,7.57,7.35,6,Yes,9,3,2,No
CLG0038,6.61,6.55,4,No,7,10,4,No
CLG0078,5.77,5.64,3,No,2,10,4,No
CLG0055,7.27,7.51,10,Yes,10,3,4,No
CLG0003,9.37,9.47,6,Yes,2,9,5,Yes
CLG0025,7.85,8,6,No,4,7,0,No
CLG0045,9.39,9.1,2,Yes,8,2,0,No
CLG0062,5.98,5.81,10,No,4,6,5,No
CLG0007,5.83,5.35,9,No,0,4,3,No
CLG0081,7.88,7.49,4,Yes,4,10,4,No
CLG0027,7.32,7.09,4,No,8,7,4,No
CLG0023,8.3,7.87,10,Yes,6,4,0,No
CLG0032,8.97,9.07,8,No,8,7,2,No
CLG0002,8.76,9.26,3,No,9,6,2,No
CLG0075,9.71,9.31,10,Yes,9,8,5,Yes
CLG0034,6.99,7.31,7,Yes,4,7,5,No
CLG0052,6.03,5.65,7,No,2,9,5,No
CLG0061,7.75,7.92,2,No,1,4,1,No
CLG0034,5.55,5.69,3,Yes,8,9,5,No
CLG0007,6.44,6.84,4,Yes,4,5,3,No
CLG0010,6.04,5.65,2,Yes,10,9,3,No
CLG0089,6.98,6.8,9,No,0,4,4,No
CLG0002,5.56,5.15,10,Yes,1,3,0,No
CLG0030,5.16,5.07,6,No,1,7,3,No
CLG0081,8.28,8.69,1,Yes,3,4,2,No
CLG0029,8.05,8.33,1,No,5,5,0,No
CLG0082,8.54,8.76,8,Yes,7,3,4,No
CLG0060,8.3,8.33,6,Yes,2,6,5,No
CLG0099,5.57,5.95,10,No,9,4,4,No
CLG0017,6.46,6.41,7,Yes,9,1,3,No
CLG0056,5.65,5.3,6,Yes,5,2,3,No
CLG0086,9.21,9.55,2,No,3,8,5,Yes
CLG0051,8.73,8.51,3,Yes,7,4,1,No
CLG0025,6.01,5.56,8,Yes,8,10,5,No
CLG0084,6.71,6.34,4,Yes,8,2,5,No
CLG0016,9.83,9.94,8,No,5,4,3,Yes
CLG0025,7.97,8.08,3,Yes,1,7,3,Yes
CLG0015,9.01,8.77,2,Yes,1,2,2,Yes
CLG0079,6.32,6.55,7,Yes,9,6,2,No
CLG0057,6.05,6.32,1,No,8,1,0,No
CLG0015,8.92,9.34,3,No,4,3,3,No
CLG0056,8.43,8.51,2,No,6,9,3,Yes
CLG0082,8.4,8.68,5,No,5,5,4,Yes
CLG0037,7.76,8.01,2,No,8,8,2,Yes
CLG0065,7.82,7.58,10,No,4,1,4,No
CLG0033,8.68,8.49,5,No,7,4,3,No
CLG0003,6.35,6.33,3,Yes,3,3,2,No
CLG0049,6.76,6.28,9,Yes,6,10,3,No
CLG0022,9.36,9.16,10,No,8,9,1,No
CLG0054,6.54,6.51,9,Yes,1,7,5,No
CLG0021,7.73,7.34,8,No,8,3,4,No
CLG0027,8.51,8.14,5,No,7,1,2,No
CLG0004,10,9.96,10,Yes,9,5,2,Yes
CLG0099,7.18,7.41,7,No,0,10,3,Yes
CLG0001,7.14,7.47,2,No,9,3,3,No
CLG0004,9.21,9.26,3,Yes,6,2,0,No
CLG0055,9.03,9,2,No,4,3,0,No
CLG0024,8.66,8.54,10,No,4,5,4,Yes
CLG0029,7.32,7.01,1,No,6,5,2,No
CLG0022,6.62,6.27,3,No,10,10,3,No
CLG0023,8.04,8.33,4,No,9,8,4,Yes
CLG0085,9.38,9.35,9,No,3,4,2,No
CLG0078,9.42,9.71,2,No,0,2,3,No
CLG0008,5.54,5.74,9,Yes,5,8,0,No
CLG0058,7.14,6.83,1,Yes,0,8,2,No
